stats_date,customer_segment,region,total_spend,order_count,new_customers,returning_customers,churn_count
2025-10-09,Enterprise,Midwest,14074.99,11,0,6,0
2025-10-09,Enterprise,West,15357.9,12,1,8,0
2025-10-09,Mid-Market,Northeast,8104.0,33,4,22,0
2025-10-09,Mid-Market,Southeast,6464.72,26,3,13,0
2025-10-09,Mid-Market,Midwest,4943.75,20,2,12,0
2025-10-09,Mid-Market,West,7659.28,31,3,17,0
2025-10-09,Small Business,Northeast,2871.98,57,11,32,2
2025-10-09,Small Business,Southeast,1731.07,34,6,22,0
2025-10-09,Small Business,Midwest,1847.2,36,7,18,0
2025-10-09,Small Business,West,2552.5,51,10,28,0
2025-10-10,Enterprise,Northeast,21522.25,17,1,9,0
2025-10-10,Enterprise,Southeast,14583.77,11,0,5,0
2025-10-10,Enterprise,Midwest,13516.08,10,0,7,0
2025-10-10,Enterprise,West,13688.55,10,0,6,0
2025-10-10,Mid-Market,Northeast,6140.41,25,3,19,0
2025-10-10,Mid-Market,Southeast,6004.71,25,3,14,0
2025-10-10,Mid-Market,Midwest,4770.14,19,2,14,0
2025-10-10,Mid-Market,West,5812.42,24,2,17,0
2025-10-10,Small Business,Northeast,2628.63,52,10,29,2
2025-10-10,Small Business,Southeast,1805.22,36,7,25,1
2025-10-10,Small Business,Midwest,1803.24,36,7,27,1
2025-10-10,Small Business,West,1966.57,39,7,25,1
2025-10-11,Enterprise,Northeast,10458.71,8,0,5,0
2025-10-11,Enterprise,Southeast,8101.79,6,0,4,0
2025-10-11,Enterprise,Midwest,7092.65,5,0,3,0
2025-10-11,Enterprise,West,8071.43,6,0,3,0
2025-10-11,Mid-Market,Northeast,3542.35,14,1,8,0
2025-10-11,Mid-Market,Southeast,4209.3,17,2,9,0
2025-10-11,Mid-Market,Midwest,2974.75,12,1,8,0
2025-10-11,Mid-Market,West,3713.8,15,1,8,0
2025-10-11,Small Business,Northeast,1301.98,26,5,16,1
2025-10-11,Small Business,Southeast,973.06,19,3,10,0
2025-10-11,Small Business,Midwest,1224.64,24,4,14,0
2025-10-11,Small Business,West,1223.89,24,4,14,0
2025-10-12,Enterprise,Northeast,12008.72,9,0,4,0
2025-10-12,Enterprise,Southeast,7999.63,6,0,4,0
2025-10-12,Enterprise,Midwest,6708.29,5,0,2,0
2025-10-12,Enterprise,West,9645.96,7,0,4,0
2025-10-12,Mid-Market,Northeast,4094.95,17,2,10,0
2025-10-12,Mid-Market,Southeast,3985.45,16,1,12,0
2025-10-12,Mid-Market,Midwest,3514.85,14,1,10,0
2025-10-12,Mid-Market,West,3553.66,14,1,10,0
2025-10-12,Small Business,Northeast,1339.81,26,5,13,1
2025-10-12,Small Business,Southeast,1258.25,25,5,14,0
2025-10-12,Small Business,Midwest,1056.11,21,4,10,0
2025-10-12,Small Business,West,1096.99,21,4,12,0
2025-10-13,Enterprise,Northeast,16432.55,13,1,9,0
2025-10-13,Enterprise,Southeast,16223.69,12,1,7,0
2025-10-13,Enterprise,Midwest,12532.85,10,0,7,0
2025-10-13,Enterprise,West,16728.26,13,1,9,0
2025-10-13,Mid-Market,Northeast,6585.22,27,3,19,0
2025-10-13,Mid-Market,Southeast,7020.68,29,3,18,0
2025-10-13,Mid-Market,Midwest,6471.62,26,3,13,0
2025-10-13,Mid-Market,West,6766.59,28,3,19,0
2025-10-13,Small Business,Northeast,2104.68,42,8,32,1
2025-10-13,Small Business,Southeast,2062.99,41,8,20,1
2025-10-13,Small Business,Midwest,1597.01,31,6,21,1
2025-10-13,Small Business,West,1771.19,35,7,22,1
2025-10-14,Enterprise,Northeast,16465.54,13,1,9,0
2025-10-14,Enterprise,Southeast,16144.31,12,1,9,0
2025-10-14,Enterprise,Midwest,11365.29,9,0,6,0
2025-10-14,Enterprise,West,15748.61,12,1,6,0
2025-10-14,Mid-Market,Northeast,7275.99,30,3,17,0
2025-10-14,Mid-Market,Southeast,5179.94,21,2,12,0
2025-10-14,Mid-Market,Midwest,5936.89,24,2,17,0
2025-10-14,Mid-Market,West,6312.65,26,3,19,0
2025-10-14,Small Business,Northeast,2128.81,42,8,33,1
2025-10-14,Small Business,Southeast,1845.31,36,7,22,1
2025-10-14,Small Business,Midwest,1896.85,37,7,23,0
2025-10-14,Small Business,West,2049.62,40,8,21,1
2025-10-15,Enterprise,Northeast,18818.3,15,1,10,0
2025-10-15,Enterprise,Southeast,15334.71,12,1,8,0
2025-10-15,Enterprise,Midwest,12623.9,10,0,7,0
2025-10-15,Enterprise,West,18436.65,14,1,7,0
2025-10-15,Mid-Market,Northeast,7078.75,29,3,15,0
2025-10-15,Mid-Market,Southeast,7039.73,29,3,21,0
2025-10-15,Mid-Market,Midwest,4567.39,19,2,13,0
2025-10-15,Mid-Market,West,5737.33,23,2,15,0
2025-10-15,Small Business,Northeast,2005.44,40,8,21,0
2025-10-15,Small Business,Southeast,2270.01,45,9,26,0
2025-10-15,Small Business,Midwest,1470.83,29,5,20,0
2025-10-15,Small Business,West,2237.19,44,8,26,0
2025-10-16,Enterprise,Northeast,14709.72,11,0,6,0
2025-10-16,Enterprise,Southeast,17659.34,14,1,10,0
2025-10-16,Enterprise,Midwest,15179.22,12,1,8,0
2025-10-16,Enterprise,West,17941.16,14,1,11,0
2025-10-16,Mid-Market,Northeast,7365.26,30,3,21,0
2025-10-16,Mid-Market,Southeast,6081.36,25,3,12,0
2025-10-16,Mid-Market,Midwest,5063.13,21,2,11,0
2025-10-16,Mid-Market,West,6689.59,27,3,21,0
2025-10-16,Small Business,Northeast,2720.65,54,10,29,0
2025-10-16,Small Business,Southeast,2364.2,47,9,33,1
2025-10-16,Small Business,Midwest,1652.82,33,6,23,0
2025-10-16,Small Business,West,1934.82,38,7,20,0
2025-10-17,Enterprise,Northeast,15065.81,12,1,7,0
2025-10-17,Enterprise,Southeast,15268.78,12,1,7,0
2025-10-17,Enterprise,Midwest,15779.96,12,1,6,0
2025-10-17,Enterprise,West,19679.75,15,1,9,0
2025-10-17,Mid-Market,Northeast,7721.37,32,3,24,0
2025-10-17,Mid-Market,Southeast,5552.19,23,2,13,0
2025-10-17,Mid-Market,Midwest,5754.49,23,2,13,0
2025-10-17,Mid-Market,West,6356.66,26,3,14,0
2025-10-17,Small Business,Northeast,2862.33,57,11,30,3
2025-10-17,Small Business,Southeast,2129.19,42,8,30,2
2025-10-17,Small Business,Midwest,1834.64,36,7,23,0
2025-10-17,Small Business,West,2121.95,42,8,27,0
2025-10-18,Enterprise,Northeast,10515.8,8,0,4,0
2025-10-18,Enterprise,Southeast,8444.24,6,0,4,0
2025-10-18,Enterprise,Midwest,8589.98,6,0,3,0
2025-10-18,Enterprise,West,11006.79,8,0,6,0
2025-10-18,Mid-Market,Northeast,4857.78,20,2,10,0
2025-10-18,Mid-Market,Southeast,4258.01,17,2,13,0
2025-10-18,Mid-Market,Midwest,3052.44,12,1,8,0
2025-10-18,Mid-Market,West,3270.37,13,1,9,0
2025-10-18,Small Business,Northeast,1688.92,33,6,20,1
2025-10-18,Small Business,Southeast,1325.76,26,5,16,1
2025-10-18,Small Business,Midwest,957.58,19,3,9,0
2025-10-18,Small Business,West,1576.23,31,6,19,1
2025-10-19,Enterprise,Northeast,12831.74,10,0,7,0
2025-10-19,Enterprise,Southeast,8238.65,6,0,4,0
2025-10-19,Enterprise,Midwest,8820.32,7,0,3,0
2025-10-19,Enterprise,West,8049.02,6,0,3,0
2025-10-19,Mid-Market,Northeast,4097.8,17,2,12,0
2025-10-19,Mid-Market,Southeast,3289.3,13,1,7,0
2025-10-19,Mid-Market,Midwest,3488.03,14,1,7,0
2025-10-19,Mid-Market,West,4472.35,18,2,11,0
2025-10-19,Small Business,Northeast,1390.98,27,5,18,0
2025-10-19,Small Business,Southeast,1081.95,21,4,15,0
2025-10-19,Small Business,Midwest,1042.18,20,4,15,1
2025-10-19,Small Business,West,1216.15,24,4,12,0
2025-10-20,Enterprise,Northeast,21423.6,17,1,12,0
2025-10-20,Enterprise,Southeast,17425.6,13,1,9,0
2025-10-20,Enterprise,Midwest,10896.05,8,0,5,0
2025-10-20,Enterprise,West,14888.32,11,0,6,0
2025-10-20,Mid-Market,Northeast,8306.56,34,4,20,0
2025-10-20,Mid-Market,Southeast,5173.83,21,2,13,0
2025-10-20,Mid-Market,Midwest,6133.02,25,3,17,0
2025-10-20,Mid-Market,West,5748.19,23,2,15,0
2025-10-20,Small Business,Northeast,1966.32,39,7,24,1
2025-10-20,Small Business,Southeast,1722.68,34,6,26,0
2025-10-20,Small Business,Midwest,1524.76,30,6,21,1
2025-10-20,Small Business,West,2440.37,48,9,31,0
2025-10-21,Enterprise,Northeast,15951.85,12,1,6,0
2025-10-21,Enterprise,Southeast,15772.12,12,1,6,0
2025-10-21,Enterprise,Midwest,11646.2,9,0,5,0
2025-10-21,Enterprise,West,19495.45,15,1,9,0
2025-10-21,Mid-Market,Northeast,7847.3,32,3,16,0
2025-10-21,Mid-Market,Southeast,5316.66,22,2,17,0
2025-10-21,Mid-Market,Midwest,5412.2,22,2,17,0
2025-10-21,Mid-Market,West,7900.18,32,3,20,0
2025-10-21,Small Business,Northeast,2337.17,46,9,26,2
2025-10-21,Small Business,Southeast,2098.38,41,8,22,1
2025-10-21,Small Business,Midwest,1937.59,38,7,20,1
2025-10-21,Small Business,West,2150.71,43,8,23,1
2025-10-22,Enterprise,Northeast,17907.77,14,1,9,0
2025-10-22,Enterprise,Southeast,15687.9,12,1,8,0
2025-10-22,Enterprise,Midwest,16010.82,12,1,9,0
2025-10-22,Enterprise,West,14000.61,11,0,7,0
2025-10-22,Mid-Market,Northeast,8319.45,34,4,20,0
2025-10-22,Mid-Market,Southeast,5268.78,21,2,16,0
2025-10-22,Mid-Market,Midwest,6284.85,26,3,16,0
2025-10-22,Mid-Market,West,7272.18,30,3,22,0
2025-10-22,Small Business,Northeast,2485.19,49,9,27,2
2025-10-22,Small Business,Southeast,2217.12,44,8,25,0
2025-10-22,Small Business,Midwest,2142.61,42,8,33,1
2025-10-22,Small Business,West,1794.3,35,7,19,1
2025-10-23,Enterprise,Northeast,15887.88,12,1,7,0
2025-10-23,Enterprise,Southeast,14767.68,11,0,7,0
2025-10-23,Enterprise,Midwest,12672.56,10,0,7,0
2025-10-23,Enterprise,West,13314.78,10,0,6,0
2025-10-23,Mid-Market,Northeast,8510.56,35,4,26,1
2025-10-23,Mid-Market,Southeast,5312.4,22,2,16,0
2025-10-23,Mid-Market,Midwest,4929.91,20,2,14,0
2025-10-23,Mid-Market,West,5771.53,24,2,16,0
2025-10-23,Small Business,Northeast,2209.54,44,8,30,1
2025-10-23,Small Business,Southeast,1611.65,32,6,16,0
2025-10-23,Small Business,Midwest,1504.93,30,6,15,1
2025-10-23,Small Business,West,2597.78,51,10,36,2
2025-10-24,Enterprise,Northeast,19368.0,15,1,11,0
2025-10-24,Enterprise,Southeast,14236.02,11,0,6,0
2025-10-24,Enterprise,Midwest,12255.75,9,0,5,0
2025-10-24,Enterprise,West,19465.79,15,1,11,0
2025-10-24,Mid-Market,Northeast,7496.77,31,3,17,0
2025-10-24,Mid-Market,Southeast,6987.63,29,3,19,0
2025-10-24,Mid-Market,Midwest,5360.69,22,2,16,0
2025-10-24,Mid-Market,West,5574.24,23,2,14,0
2025-10-24,Small Business,Northeast,2132.03,42,8,24,2
2025-10-24,Small Business,Southeast,2042.65,40,8,29,0
2025-10-24,Small Business,Midwest,2046.28,40,8,20,0
2025-10-24,Small Business,West,1927.79,38,7,22,1
2025-10-25,Enterprise,Northeast,9412.37,7,0,5,0
2025-10-25,Enterprise,Southeast,10352.4,8,0,4,0
2025-10-25,Enterprise,Midwest,6586.73,5,0,3,0
2025-10-25,Enterprise,West,8156.51,6,0,3,0
2025-10-25,Mid-Market,Northeast,3903.34,16,1,9,0
2025-10-25,Mid-Market,Southeast,3237.67,13,1,8,0
2025-10-25,Mid-Market,Midwest,3367.34,14,1,10,0
2025-10-25,Mid-Market,West,4177.16,17,2,11,0
2025-10-25,Small Business,Northeast,1373.45,27,5,14,0
2025-10-25,Small Business,Southeast,1429.55,28,5,20,0
2025-10-25,Small Business,Midwest,1048.94,20,4,13,0
2025-10-25,Small Business,West,1564.59,31,6,23,0
2025-10-26,Enterprise,Northeast,9619.42,7,0,5,0
2025-10-26,Enterprise,Southeast,9773.57,7,0,5,0
2025-10-26,Enterprise,Midwest,9023.09,7,0,3,0
2025-10-26,Enterprise,West,10762.17,8,0,4,0
2025-10-26,Mid-Market,Northeast,3926.1,16,1,12,0
2025-10-26,Mid-Market,Southeast,3005.39,12,1,6,0
2025-10-26,Mid-Market,Midwest,2688.57,11,1,5,0
2025-10-26,Mid-Market,West,4626.13,19,2,14,0
2025-10-26,Small Business,Northeast,1600.85,32,6,17,0
2025-10-26,Small Business,Southeast,982.52,19,3,10,0
2025-10-26,Small Business,Midwest,1064.07,21,4,16,0
2025-10-26,Small Business,West,1419.79,28,5,19,0
2025-10-27,Enterprise,Northeast,14707.51,11,0,6,0
2025-10-27,Enterprise,Southeast,15091.36,12,1,7,0
2025-10-27,Enterprise,Midwest,14106.03,11,0,5,0
2025-10-27,Enterprise,West,15947.73,12,1,6,0
2025-10-27,Mid-Market,Northeast,7143.78,29,3,15,0
2025-10-27,Mid-Market,Southeast,5284.21,22,2,12,0
2025-10-27,Mid-Market,Midwest,4487.22,18,2,13,0
2025-10-27,Mid-Market,West,5492.09,22,2,12,0
2025-10-27,Small Business,Northeast,2657.16,53,10,35,2
2025-10-27,Small Business,Southeast,1952.54,39,7,26,1
2025-10-27,Small Business,Midwest,1975.74,39,7,30,1
2025-10-27,Small Business,West,1874.32,37,7,27,2
2025-10-28,Enterprise,Northeast,18268.38,14,1,10,0
2025-10-28,Enterprise,Southeast,16504.19,13,1,9,0
2025-10-28,Enterprise,Midwest,11387.06,9,0,4,0
2025-10-28,Enterprise,West,17439.93,13,1,7,0
2025-10-28,Mid-Market,Northeast,8279.04,34,4,18,0
2025-10-28,Mid-Market,Southeast,6625.1,27,3,15,0
2025-10-28,Mid-Market,Midwest,5151.94,21,2,14,0
2025-10-28,Mid-Market,West,6859.73,28,3,14,0
2025-10-28,Small Business,Northeast,2408.76,48,9,27,0
2025-10-28,Small Business,Southeast,1723.64,34,6,24,0
2025-10-28,Small Business,Midwest,2053.21,41,8,32,0
2025-10-28,Small Business,West,2352.6,47,9,26,0
2025-10-29,Enterprise,Northeast,15998.58,12,1,7,0
2025-10-29,Enterprise,Southeast,16838.75,13,1,9,0
2025-10-29,Enterprise,Midwest,12302.39,9,0,5,0
2025-10-29,Enterprise,West,19138.63,15,1,8,0
2025-10-29,Mid-Market,Northeast,7924.2,33,3,21,0
2025-10-29,Mid-Market,Southeast,6840.38,28,3,14,0
2025-10-29,Mid-Market,Midwest,5947.2,24,2,16,0
2025-10-29,Mid-Market,West,5517.95,22,2,13,0
2025-10-29,Small Business,Northeast,2470.06,49,9,27,1
2025-10-29,Small Business,Southeast,1724.86,34,6,17,0
2025-10-29,Small Business,Midwest,1786.93,35,7,23,0
2025-10-29,Small Business,West,2345.12,46,9,36,1
2025-10-30,Enterprise,Northeast,18606.3,14,1,9,0
2025-10-30,Enterprise,Southeast,12017.68,9,0,4,0
2025-10-30,Enterprise,Midwest,13974.17,11,0,6,0
2025-10-30,Enterprise,West,13878.53,11,0,7,0
2025-10-30,Mid-Market,Northeast,6103.72,25,3,13,0
2025-10-30,Mid-Market,Southeast,5482.66,22,2,14,0
2025-10-30,Mid-Market,Midwest,5543.03,23,2,16,0
2025-10-30,Mid-Market,West,6290.57,26,3,18,0
2025-10-30,Small Business,Northeast,2797.74,55,11,39,0
2025-10-30,Small Business,Southeast,2071.8,41,8,21,0
2025-10-30,Small Business,Midwest,1754.61,35,7,24,0
2025-10-30,Small Business,West,2136.16,42,8,24,0
2025-10-31,Enterprise,Northeast,20808.95,16,1,11,0
2025-10-31,Enterprise,Southeast,12865.46,10,0,7,0
2025-10-31,Enterprise,Midwest,11172.84,8,0,4,0
2025-10-31,Enterprise,West,14514.79,11,0,7,0
2025-10-31,Mid-Market,Northeast,7449.6,31,3,23,0
2025-10-31,Mid-Market,Southeast,6557.59,27,3,17,0
2025-10-31,Mid-Market,Midwest,4626.16,19,2,12,0
2025-10-31,Mid-Market,West,6266.77,26,3,15,0
2025-10-31,Small Business,Northeast,2414.24,48,9,27,1
2025-10-31,Small Business,Southeast,2027.29,40,8,25,2
2025-10-31,Small Business,Midwest,1822.66,36,7,25,1
2025-10-31,Small Business,West,2148.66,42,8,31,0
2025-11-01,Enterprise,Northeast,8719.81,6,0,3,0
2025-11-01,Enterprise,Southeast,9533.15,7,0,3,0
2025-11-01,Enterprise,Midwest,7494.49,5,0,3,0
2025-11-01,Enterprise,West,10527.17,8,0,5,0
2025-11-01,Mid-Market,Northeast,4445.22,18,2,11,0
2025-11-01,Mid-Market,Southeast,3474.46,14,1,8,0
2025-11-01,Mid-Market,Midwest,3559.42,14,1,7,0
2025-11-01,Mid-Market,West,3676.53,15,1,8,0
2025-11-01,Small Business,Northeast,1424.2,28,5,17,0
2025-11-01,Small Business,Southeast,1147.56,22,4,16,0
2025-11-01,Small Business,Midwest,1267.08,25,5,12,1
2025-11-01,Small Business,West,1567.0,31,6,20,0
2025-11-02,Enterprise,Northeast,12558.6,10,0,5,0
2025-11-02,Enterprise,Southeast,8867.44,7,0,5,0
2025-11-02,Enterprise,Midwest,8011.28,6,0,3,0
2025-11-02,Enterprise,West,10429.72,8,0,4,0
2025-11-02,Mid-Market,Northeast,3921.25,16,1,10,0
2025-11-02,Mid-Market,Southeast,3931.67,16,1,8,0
2025-11-02,Mid-Market,Midwest,2705.12,11,1,7,0
2025-11-02,Mid-Market,West,4301.46,17,2,10,0
2025-11-02,Small Business,Northeast,1440.05,28,5,17,1
2025-11-02,Small Business,Southeast,1391.75,27,5,21,1
2025-11-02,Small Business,Midwest,889.26,17,3,11,0
2025-11-02,Small Business,West,1486.23,29,5,16,1
2025-11-03,Enterprise,Northeast,15382.12,12,1,6,0
2025-11-03,Enterprise,Southeast,14083.7,11,0,8,0
2025-11-03,Enterprise,Midwest,13858.63,11,0,8,0
2025-11-03,Enterprise,West,16497.61,13,1,8,0
2025-11-03,Mid-Market,Northeast,5911.78,24,2,14,0
2025-11-03,Mid-Market,Southeast,5107.08,21,2,10,0
2025-11-03,Mid-Market,Midwest,4606.72,19,2,12,0
2025-11-03,Mid-Market,West,6428.41,26,3,19,0
2025-11-03,Small Business,Northeast,2610.27,52,10,39,2
2025-11-03,Small Business,Southeast,2214.17,44,8,22,1
2025-11-03,Small Business,Midwest,1558.16,31,6,23,1
2025-11-03,Small Business,West,2472.35,49,9,32,1
2025-11-04,Enterprise,Northeast,16754.33,13,1,10,0
2025-11-04,Enterprise,Southeast,12889.29,10,0,5,0
2025-11-04,Enterprise,Midwest,12346.74,9,0,5,0
2025-11-04,Enterprise,West,16084.35,12,1,6,0
2025-11-04,Mid-Market,Northeast,8361.88,34,4,21,0
2025-11-04,Mid-Market,Southeast,5126.31,21,2,16,0
2025-11-04,Mid-Market,Midwest,5023.74,20,2,13,0
2025-11-04,Mid-Market,West,6414.91,26,3,14,0
2025-11-04,Small Business,Northeast,2485.57,49,9,31,0
2025-11-04,Small Business,Southeast,2113.9,42,8,27,0
2025-11-04,Small Business,Midwest,2159.57,43,8,27,1
2025-11-04,Small Business,West,2289.05,45,9,24,0
2025-11-05,Enterprise,Northeast,20707.73,16,1,9,0
2025-11-05,Enterprise,Southeast,13301.82,10,0,6,0
2025-11-05,Enterprise,Midwest,12871.79,10,0,6,0
2025-11-05,Enterprise,West,17186.91,13,1,7,0
2025-11-05,Mid-Market,Northeast,8257.7,34,4,17,0
2025-11-05,Mid-Market,Southeast,5614.25,23,2,13,0
2025-11-05,Mid-Market,Midwest,4977.34,20,2,10,0
2025-11-05,Mid-Market,West,5416.2,22,2,13,0
2025-11-05,Small Business,Northeast,2245.72,44,8,33,0
2025-11-05,Small Business,Southeast,2170.17,43,8,33,0
2025-11-05,Small Business,Midwest,1860.68,37,7,26,0
2025-11-05,Small Business,West,1786.51,35,7,22,0
2025-11-06,Enterprise,Northeast,17071.69,13,1,8,0
2025-11-06,Enterprise,Southeast,13487.45,10,0,7,0
2025-11-06,Enterprise,Midwest,14403.53,11,0,8,0
2025-11-06,Enterprise,West,19465.86,15,1,7,0
2025-11-06,Mid-Market,Northeast,7513.77,31,3,21,0
2025-11-06,Mid-Market,Southeast,6390.68,26,3,14,0
2025-11-06,Mid-Market,Midwest,6409.4,26,3,19,0
2025-11-06,Mid-Market,West,5939.51,24,2,15,0
2025-11-06,Small Business,Northeast,2040.2,40,8,24,1
2025-11-06,Small Business,Southeast,1906.36,38,7,27,0
2025-11-06,Small Business,Midwest,1793.31,35,7,27,1
2025-11-06,Small Business,West,2217.67,44,8,31,1
2025-11-07,Enterprise,Northeast,18368.46,14,1,8,0
2025-11-07,Enterprise,Southeast,17550.4,14,1,8,0
2025-11-07,Enterprise,Midwest,12227.57,9,0,5,0
2025-11-07,Enterprise,West,15212.22,12,1,6,0
2025-11-07,Mid-Market,Northeast,6038.29,25,3,12,0
2025-11-07,Mid-Market,Southeast,6415.53,26,3,14,0
2025-11-07,Mid-Market,Midwest,6138.39,25,3,13,0
2025-11-07,Mid-Market,West,5534.73,23,2,14,0
2025-11-07,Small Business,Northeast,1971.4,39,7,26,1
2025-11-07,Small Business,Southeast,2147.69,42,8,28,0
2025-11-07,Small Business,Midwest,1482.18,29,5,18,0
2025-11-07,Small Business,West,2030.47,40,8,28,1
2025-11-08,Enterprise,Northeast,10073.55,8,0,5,0
2025-11-08,Enterprise,Southeast,7634.57,6,0,3,0
2025-11-08,Enterprise,Midwest,8275.92,6,0,4,0
2025-11-08,Enterprise,West,10115.17,8,0,6,0
