campaign_date,channel,region,impressions,clicks,spend,conversions,conversion_revenue
2025-10-02,Display Ads,Northeast,315232,12480,1576.16,337,14494.33
2025-10-02,Display Ads,Southeast,256959,3725,1284.8,401,48786.93
2025-10-02,Display Ads,Midwest,289303,14162,1446.52,517,99375.34
2025-10-02,Display Ads,West,314727,10389,1573.64,715,108139.29
2025-10-03,Email,Northeast,66441,1308,664.41,134,14538.71
2025-10-03,Email,Southeast,45020,2395,450.21,256,45383.97
2025-10-03,Email,Midwest,41822,2329,418.23,227,44316.23
2025-10-03,Email,West,60606,3635,606.07,246,39330.25
2025-10-03,Social Media,Northeast,266993,9670,2669.94,681,70868.87
2025-10-03,Social Media,Southeast,229481,6638,2294.82,628,81575.51
2025-10-03,Social Media,Midwest,194898,4961,1948.98,138,20427.05
2025-10-03,Social Media,West,188763,5281,1887.63,518,24780.79
2025-10-03,Paid Search,Northeast,111783,4409,4191.87,335,49692.56
2025-10-03,Paid Search,Southeast,65822,731,2468.35,67,8967.5
2025-10-03,Paid Search,Midwest,76016,3888,2850.62,183,12032.52
2025-10-03,Paid Search,West,104505,1361,3918.97,97,13563.93
2025-10-03,Display Ads,Northeast,425536,6098,2127.68,550,28935.41
2025-10-03,Display Ads,Southeast,294456,12075,1472.28,1266,60192.27
2025-10-03,Display Ads,Midwest,296836,5177,1484.18,313,61659.02
2025-10-03,Display Ads,West,376264,5205,1881.32,106,4773.66
2025-10-04,Email,Northeast,46718,556,467.19,54,9135.8
2025-10-04,Email,Southeast,39446,2241,394.46,186,31991.79
2025-10-04,Email,Midwest,32039,1391,320.4,37,4739.83
2025-10-04,Email,West,46050,1354,460.51,123,8429.84
2025-10-04,Social Media,Northeast,166766,6182,1667.66,599,54865.57
2025-10-04,Social Media,Southeast,138251,2695,1382.51,209,39786.74
2025-10-04,Social Media,Midwest,120287,5168,1202.87,391,27878.06
2025-10-04,Social Media,West,166096,3419,1660.96,278,55336.43
2025-10-04,Paid Search,Northeast,62004,2692,2325.17,145,20746.87
2025-10-04,Paid Search,Southeast,49085,1719,1840.71,169,12524.61
2025-10-04,Paid Search,Midwest,47469,1010,1780.1,36,5300.18
2025-10-04,Paid Search,West,69763,2535,2616.12,164,14496.37
2025-10-04,Display Ads,Northeast,225723,12892,1128.62,876,130595.97
2025-10-04,Display Ads,Southeast,191441,3570,957.21,74,6463.12
2025-10-04,Display Ads,Midwest,182878,6595,914.39,538,81023.32
2025-10-04,Display Ads,West,265793,13315,1328.97,1181,199310.46
2025-10-05,Email,Northeast,42702,1436,427.03,160,29276.69
2025-10-05,Email,Southeast,33403,1782,334.03,112,17951.13
2025-10-05,Email,Midwest,25504,1013,255.05,116,12781.39
2025-10-05,Email,West,44208,1946,442.09,42,2194.02
2025-10-05,Social Media,Northeast,156616,9173,1566.16,786,106613.0
2025-10-05,Social Media,Southeast,160157,4405,1601.58,152,16921.43
2025-10-05,Social Media,Midwest,146565,2678,1465.65,185,16103.95
2025-10-05,Social Media,West,145207,2123,1452.08,235,19023.06
2025-10-05,Paid Search,Northeast,74971,1398,2811.42,87,3819.76
2025-10-05,Paid Search,Southeast,57981,2057,2174.3,129,9296.11
2025-10-05,Paid Search,Midwest,53187,626,1994.51,70,8208.61
2025-10-05,Paid Search,West,64334,2008,2412.55,44,1971.39
2025-10-05,Display Ads,Northeast,274744,9431,1373.72,450,56715.59
2025-10-05,Display Ads,Southeast,241169,8558,1205.85,614,81957.71
2025-10-05,Display Ads,Midwest,217243,2515,1086.22,217,28691.04
2025-10-05,Display Ads,West,250984,4578,1254.92,470,78478.81
2025-10-06,Email,Northeast,54657,3137,546.57,79,10053.87
2025-10-06,Email,Southeast,41729,810,417.3,67,10242.12
2025-10-06,Email,Midwest,44626,993,446.27,73,8157.96
2025-10-06,Email,West,52439,1600,524.39,105,10411.92
2025-10-06,Social Media,Northeast,203750,7099,2037.51,343,57237.33
2025-10-06,Social Media,Southeast,236437,11175,2364.38,592,68825.75
2025-10-06,Social Media,Midwest,197211,4230,1972.11,422,19857.25
2025-10-06,Social Media,West,261159,9884,2611.59,962,130906.24
2025-10-06,Paid Search,Northeast,109405,3408,4102.7,99,7222.2
2025-10-06,Paid Search,Southeast,87873,5200,3295.26,222,26172.32
2025-10-06,Paid Search,Midwest,80087,2021,3003.27,88,14279.89
2025-10-06,Paid Search,West,74508,1987,2794.06,157,18759.26
2025-10-06,Display Ads,Northeast,424631,14516,2123.16,884,61860.11
2025-10-06,Display Ads,Southeast,337965,4222,1689.83,91,8961.2
2025-10-06,Display Ads,Midwest,302917,6886,1514.59,459,25045.06
2025-10-06,Display Ads,West,300933,17146,1504.67,1816,100486.13
2025-10-07,Email,Northeast,70928,2370,709.28,79,7803.1
2025-10-07,Email,Southeast,59233,1135,592.34,109,20686.06
2025-10-07,Email,Midwest,52474,2506,524.75,281,16395.24
2025-10-07,Email,West,59290,3446,592.9,248,10527.99
2025-10-07,Social Media,Northeast,219844,7056,2198.45,432,67338.35
2025-10-07,Social Media,Southeast,173902,1796,1739.02,154,30497.79
2025-10-07,Social Media,Midwest,178810,7875,1788.1,716,105524.23
2025-10-07,Social Media,West,245890,2830,2458.91,255,27976.17
2025-10-07,Paid Search,Northeast,91635,4595,3436.31,151,28274.62
2025-10-07,Paid Search,Southeast,89983,4653,3374.39,520,38960.44
2025-10-07,Paid Search,Midwest,74699,4125,2801.21,306,45603.99
2025-10-07,Paid Search,West,74081,3213,2778.05,72,8785.7
2025-10-07,Display Ads,Northeast,291952,7415,1459.76,229,19238.37
2025-10-07,Display Ads,Southeast,255472,11265,1277.36,819,134176.22
2025-10-07,Display Ads,Midwest,303572,13808,1517.86,1109,136981.32
2025-10-07,Display Ads,West,365697,11551,1828.49,670,69404.59
2025-10-08,Email,Northeast,48598,993,485.98,81,8328.63
2025-10-08,Email,Southeast,48534,717,485.34,25,4499.31
2025-10-08,Email,Midwest,50406,1406,504.07,156,20505.12
2025-10-08,Email,West,60471,1068,604.71,123,13835.65
2025-10-08,Social Media,Northeast,205239,2737,2052.4,72,2891.75
2025-10-08,Social Media,Southeast,222145,11045,2221.45,517,45084.45
2025-10-08,Social Media,Midwest,209697,4532,2096.97,498,85539.52
2025-10-08,Social Media,West,212022,6964,2120.23,420,41004.39
2025-10-08,Paid Search,Northeast,103826,4561,3893.48,544,32216.07
2025-10-08,Paid Search,Southeast,73882,2692,2770.61,266,52884.59
2025-10-08,Paid Search,Midwest,81223,1195,3045.9,115,8607.6
2025-10-08,Paid Search,West,85576,1174,3209.13,26,2824.48
2025-10-08,Display Ads,Northeast,414450,10155,2072.25,232,34909.37
2025-10-08,Display Ads,Southeast,273506,3905,1367.53,157,28454.89
2025-10-08,Display Ads,Midwest,313267,10924,1566.34,738,111102.17
2025-10-08,Display Ads,West,309294,9050,1546.47,887,130103.85
2025-10-09,Email,Northeast,69305,2668,693.06,273,47393.44
2025-10-09,Email,Southeast,44739,1880,447.4,142,9328.83
2025-10-09,Email,Midwest,39955,1181,399.56,135,6133.86
2025-10-09,Email,West,65201,3748,652.01,225,31490.4
2025-10-09,Social Media,Northeast,221085,2679,2210.86,58,9099.82
2025-10-09,Social Media,Southeast,178324,6319,1783.25,307,12757.63
2025-10-09,Social Media,Midwest,172249,5686,1722.49,660,80754.39
2025-10-09,Social Media,West,261455,7854,2614.55,819,100534.47
2025-10-09,Paid Search,Northeast,77675,4350,2912.83,385,50967.07
2025-10-09,Paid Search,Southeast,77971,812,2923.93,87,4239.11
2025-10-09,Paid Search,Midwest,60701,2962,2276.31,146,13737.98
2025-10-09,Paid Search,West,80012,2668,3000.49,263,24514.79
2025-10-09,Display Ads,Northeast,306801,11517,1534.01,637,116677.82
2025-10-09,Display Ads,Southeast,247491,7655,1237.46,476,80672.47
2025-10-09,Display Ads,Midwest,236240,11699,1181.2,879,151852.59
2025-10-09,Display Ads,West,370470,13014,1852.35,1198,73807.38
2025-10-10,Email,Northeast,66101,1361,661.01,103,6857.08
2025-10-10,Email,Southeast,58951,1772,589.51,151,18301.59
2025-10-10,Email,Midwest,48411,955,484.11,92,9405.9
2025-10-10,Email,West,58122,3291,581.23,282,45365.38
2025-10-10,Social Media,Northeast,238970,8032,2389.71,893,103055.89
2025-10-10,Social Media,Southeast,163083,4176,1630.83,282,12027.9
2025-10-10,Social Media,Midwest,151065,5812,1510.66,216,41195.98
2025-10-10,Social Media,West,186620,4725,1866.21,138,13969.32
2025-10-10,Paid Search,Northeast,77162,3134,2893.59,106,6116.05
2025-10-10,Paid Search,Southeast,75290,1181,2823.39,53,10099.02
2025-10-10,Paid Search,Midwest,66767,3003,2503.8,257,37955.13
2025-10-10,Paid Search,West,86391,2767,3239.66,235,14822.66
2025-10-10,Display Ads,Northeast,294465,4500,1472.33,101,11548.3
2025-10-10,Display Ads,Southeast,250941,8176,1254.71,631,49507.02
2025-10-10,Display Ads,Midwest,288907,10253,1444.54,530,65794.01
2025-10-10,Display Ads,West,268423,10030,1342.12,372,71298.67
2025-10-11,Email,Northeast,42911,1561,429.12,64,3385.22
2025-10-11,Email,Southeast,30209,830,302.1,31,5638.09
2025-10-11,Email,Midwest,28957,903,289.57,52,5142.92
2025-10-11,Email,West,33548,1481,335.49,153,20009.63
2025-10-11,Social Media,Northeast,149984,7268,1499.85,170,25545.38
2025-10-11,Social Media,Southeast,136446,2670,1364.46,314,16240.91
2025-10-11,Social Media,Midwest,116952,5029,1169.52,122,19762.66
2025-10-11,Social Media,West,123270,2319,1232.71,249,11652.62
2025-10-11,Paid Search,Northeast,77119,1394,2891.98,81,7117.86
2025-10-11,Paid Search,Southeast,59397,2471,2227.39,91,7451.5
2025-10-11,Paid Search,Midwest,50184,2790,1881.92,189,27214.83
2025-10-11,Paid Search,West,69144,3033,2592.93,318,32089.95
2025-10-11,Display Ads,Northeast,275208,4112,1376.04,166,8305.36
2025-10-11,Display Ads,Southeast,239761,4480,1198.81,300,27865.2
2025-10-11,Display Ads,Midwest,172366,2868,861.83,182,21646.34
2025-10-11,Display Ads,West,233666,10252,1168.33,1103,138629.29
2025-10-12,Email,Northeast,42804,807,428.05,46,4099.07
2025-10-12,Email,Southeast,37859,617,378.59,41,3155.98
2025-10-12,Email,Midwest,36443,682,364.44,52,4719.18
2025-10-12,Email,West,40012,446,400.12,43,3696.9
2025-10-12,Social Media,Northeast,161044,6396,1610.44,723,94041.79
2025-10-12,Social Media,Southeast,141342,2032,1413.43,73,5010.75
2025-10-12,Social Media,Midwest,143930,1577,1439.3,159,14844.55
2025-10-12,Social Media,West,170578,5687,1705.78,634,64707.33
2025-10-12,Paid Search,Northeast,58175,1643,2181.58,130,8264.42
2025-10-12,Paid Search,Southeast,59156,3075,2218.38,63,12392.11
2025-10-12,Paid Search,Midwest,47104,1836,1766.42,206,28907.06
2025-10-12,Paid Search,West,72478,3400,2717.95,371,60572.75
2025-10-12,Display Ads,Northeast,252922,5497,1264.61,460,79844.95
2025-10-12,Display Ads,Southeast,172657,8681,863.29,533,39086.93
2025-10-12,Display Ads,Midwest,158722,7553,793.61,474,21826.43
2025-10-12,Display Ads,West,206665,2552,1033.33,122,8023.79
2025-10-13,Email,Northeast,58007,811,580.08,17,2510.33
2025-10-13,Email,Southeast,58835,2711,588.35,87,16870.23
2025-10-13,Email,Midwest,51058,2929,510.58,171,21142.84
2025-10-13,Email,West,57331,3424,573.31,391,35946.5
2025-10-13,Social Media,Northeast,194208,7692,1942.08,732,37629.38
2025-10-13,Social Media,Southeast,231207,3277,2312.08,291,48175.32
2025-10-13,Social Media,Midwest,214033,5150,2140.34,361,20572.64
2025-10-13,Social Media,West,237879,13835,2378.79,1567,66331.38
2025-10-13,Paid Search,Northeast,81560,4869,3058.54,551,87248.68
2025-10-13,Paid Search,Southeast,88534,2768,3320.06,229,42347.28
2025-10-13,Paid Search,Midwest,70482,2073,2643.08,100,11260.51
2025-10-13,Paid Search,West,91032,1941,3413.72,66,4997.95
2025-10-13,Display Ads,Northeast,305643,5314,1528.22,331,53646.96
2025-10-13,Display Ads,Southeast,287468,12605,1437.34,881,110930.89
2025-10-13,Display Ads,Midwest,316070,5535,1580.35,472,41234.67
2025-10-13,Display Ads,West,305482,12540,1527.41,1493,66613.88
2025-10-14,Email,Northeast,55205,3060,552.06,117,13232.38
2025-10-14,Email,Southeast,44703,748,447.04,67,12084.4
2025-10-14,Email,Midwest,47619,2170,476.2,106,18745.27
2025-10-14,Email,West,51467,1093,514.68,87,6041.33
2025-10-14,Social Media,Northeast,271795,8153,2717.95,874,124471.97
2025-10-14,Social Media,Southeast,237660,4389,2376.61,197,26955.39
2025-10-14,Social Media,Midwest,161362,6142,1613.63,278,40958.61
2025-10-14,Social Media,West,245808,13658,2458.08,1252,88712.04
2025-10-14,Paid Search,Northeast,86463,4816,3242.37,408,23719.42
2025-10-14,Paid Search,Southeast,85354,2097,3200.81,200,10271.96
2025-10-14,Paid Search,Midwest,81690,2026,3063.38,239,45965.55
2025-10-14,Paid Search,West,79550,4057,2983.15,244,47067.93
2025-10-14,Display Ads,Northeast,349573,15063,1747.87,1701,79765.42
2025-10-14,Display Ads,Southeast,301012,17285,1505.06,2001,373628.09
2025-10-14,Display Ads,Midwest,281589,13309,1407.95,1415,162089.13
2025-10-14,Display Ads,West,268056,13080,1340.28,1370,158276.65
2025-10-15,Email,Northeast,63204,775,632.04,87,10139.85
2025-10-15,Email,Southeast,43381,1086,433.81,49,4909.42
2025-10-15,Email,Midwest,43894,1969,438.95,201,11033.37
2025-10-15,Email,West,56639,2724,566.39,146,13731.98
2025-10-15,Social Media,Northeast,199640,7057,1996.4,232,33412.46
2025-10-15,Social Media,Southeast,161767,9266,1617.68,788,54195.8
2025-10-15,Social Media,Midwest,182083,4238,1820.83,272,46946.23
2025-10-15,Social Media,West,248999,9983,2490.0,907,120856.14
2025-10-15,Paid Search,Northeast,78343,4560,2937.88,149,24070.07
2025-10-15,Paid Search,Southeast,80106,4250,3004.01,185,29566.58
2025-10-15,Paid Search,Midwest,83273,1959,3122.75,94,16468.62
2025-10-15,Paid Search,West,86415,2597,3240.57,201,31851.01
2025-10-15,Display Ads,Northeast,289324,17126,1446.62,1123,45118.44
2025-10-15,Display Ads,Southeast,310207,9807,1551.04,553,72231.57
2025-10-15,Display Ads,Midwest,225417,9596,1127.09,497,75941.47
2025-10-15,Display Ads,West,300534,7790,1502.67,930,159706.86
2025-10-16,Email,Northeast,62943,1738,629.43,59,7982.22
2025-10-16,Email,Southeast,48711,2457,487.12,49,6511.68
2025-10-16,Email,Midwest,36576,1293,365.77,77,7765.63
2025-10-16,Email,West,45317,1110,453.18,35,2830.7
2025-10-16,Social Media,Northeast,264782,6142,2647.82,641,63995.58
2025-10-16,Social Media,Southeast,239470,3840,2394.71,287,17196.52
2025-10-16,Social Media,Midwest,194498,3538,1944.99,201,36234.55
2025-10-16,Social Media,West,198289,5969,1982.9,191,29408.32
2025-10-16,Paid Search,Northeast,97740,2732,3665.29,233,32549.53
2025-10-16,Paid Search,Southeast,92000,5185,3450.03,429,60758.55
2025-10-16,Paid Search,Midwest,61164,614,2293.67,21,2714.88
2025-10-16,Paid Search,West,99538,4405,3732.71,246,20679.59
2025-10-16,Display Ads,Northeast,419272,4900,2096.36,567,94019.25
2025-10-16,Display Ads,Southeast,260270,13346,1301.35,1098,122422.76
2025-10-16,Display Ads,Midwest,229662,13508,1148.31,887,145279.68
2025-10-16,Display Ads,West,275551,10382,1377.76,317,19822.28
2025-10-17,Email,Northeast,65493,2573,654.94,179,7964.16
2025-10-17,Email,Southeast,56506,2571,565.07,54,5332.65
2025-10-17,Email,Midwest,46747,1195,467.48,74,4800.29
2025-10-17,Email,West,60908,1452,609.09,159,16857.55
2025-10-17,Social Media,Northeast,282338,3803,2823.38,161,26142.64
2025-10-17,Social Media,Southeast,176517,2728,1765.17,158,26117.07
2025-10-17,Social Media,Midwest,194660,8880,1946.61,625,74945.85
2025-10-17,Social Media,West,202114,6252,2021.15,299,40308.85
2025-10-17,Paid Search,Northeast,112176,4887,4206.6,541,42828.82
2025-10-17,Paid Search,Southeast,80772,2257,3028.97,243,19858.48
2025-10-17,Paid Search,Midwest,72418,1295,2715.69,26,4795.94
2025-10-17,Paid Search,West,81675,1952,3062.83,211,12016.41
2025-10-17,Display Ads,Northeast,313980,4102,1569.9,335,27449.52
2025-10-17,Display Ads,Southeast,263402,15796,1317.01,1612,177407.34
2025-10-17,Display Ads,Midwest,285308,5089,1426.54,459,73503.66
2025-10-17,Display Ads,West,319582,14044,1597.91,738,39543.41
2025-10-18,Email,Northeast,37823,716,378.23,59,5677.08
2025-10-18,Email,Southeast,38637,1478,386.37,116,7339.59
2025-10-18,Email,Midwest,32200,945,322.01,76,14863.91
2025-10-18,Email,West,41771,2140,417.71,182,15353.66
2025-10-18,Social Media,Northeast,139435,5448,1394.35,168,7037.91
2025-10-18,Social Media,Southeast,117192,6995,1171.92,642,71642.87
2025-10-18,Social Media,Midwest,120907,2253,1209.07,163,21118.82
2025-10-18,Social Media,West,126070,1780,1260.71,81,8704.37
2025-10-18,Paid Search,Northeast,77324,4544,2899.65,114,19721.99
2025-10-18,Paid Search,Southeast,49987,1824,1874.54,182,19674.17
2025-10-18,Paid Search,Midwest,54865,2614,2057.47,131,10405.8
2025-10-18,Paid Search,West,73346,3209,2750.5,137,7069.32
2025-10-18,Display Ads,Northeast,246714,10263,1233.57,1055,58413.66
2025-10-18,Display Ads,Southeast,239828,4819,1199.14,369,72889.86
2025-10-18,Display Ads,Midwest,186249,5121,931.25,404,21449.96
2025-10-18,Display Ads,West,194765,9264,973.83,477,60455.34
2025-10-19,Email,Northeast,38380,1700,383.81,44,2232.54
2025-10-19,Email,Southeast,31668,1142,316.68,95,14034.66
2025-10-19,Email,Midwest,27566,682,275.66,70,12336.3
2025-10-19,Email,West,38714,2051,387.14,174,11736.3
2025-10-19,Social Media,Northeast,192102,3063,1921.02,107,17279.53
2025-10-19,Social Media,Southeast,161396,7538,1613.97,730,63806.98
2025-10-19,Social Media,Midwest,120702,6170,1207.02,362,21391.24
2025-10-19,Social Media,West,141222,2185,1412.22,113,9037.53
2025-10-19,Paid Search,Northeast,63143,1013,2367.9,116,6418.46
2025-10-19,Paid Search,Southeast,52095,2861,1953.57,214,25205.22
2025-10-19,Paid Search,Midwest,54834,3186,2056.29,157,20283.16
2025-10-19,Paid Search,West,60783,933,2279.4,60,3391.95
2025-10-19,Display Ads,Northeast,251061,12542,1255.31,1222,68068.47
2025-10-19,Display Ads,Southeast,200935,4898,1004.68,381,67269.75
2025-10-19,Display Ads,Midwest,198672,3721,993.36,87,5675.68
2025-10-19,Display Ads,West,220659,3939,1103.3,117,9781.48
2025-10-20,Email,Northeast,52067,2396,520.67,282,39923.14
2025-10-20,Email,Southeast,44102,796,441.03,95,16771.98
2025-10-20,Email,Midwest,44824,1970,448.24,228,34798.96
2025-10-20,Email,West,57518,2208,575.18,121,13396.96
2025-10-20,Social Media,Northeast,232791,9835,2327.92,861,39406.05
2025-10-20,Social Media,Southeast,225108,9629,2251.08,719,136366.07
2025-10-20,Social Media,Midwest,177096,4420,1770.96,180,16061.55
2025-10-20,Social Media,West,227584,8335,2275.85,476,63783.49
2025-10-20,Paid Search,Northeast,107753,5904,4040.77,699,57015.73
2025-10-20,Paid Search,Southeast,91899,2165,3446.23,146,7492.56
2025-10-20,Paid Search,Midwest,77199,3265,2894.96,304,54694.52
2025-10-20,Paid Search,West,75367,1070,2826.27,83,10438.4
2025-10-20,Display Ads,Northeast,325765,8967,1628.83,530,82655.15
2025-10-20,Display Ads,Southeast,297528,7466,1487.64,290,14007.88
2025-10-20,Display Ads,Midwest,280226,6096,1401.13,375,25642.44
2025-10-20,Display Ads,West,345723,19351,1728.62,1507,173796.39
2025-10-21,Email,Northeast,52580,1453,525.81,127,17839.25
2025-10-21,Email,Southeast,51099,2514,511.0,160,27913.37
2025-10-21,Email,Midwest,52734,1073,527.34,99,10676.3
2025-10-21,Email,West,65469,810,654.7,41,5347.41
2025-10-21,Social Media,Northeast,278844,5798,2788.44,198,34571.28
2025-10-21,Social Media,Southeast,189152,1951,1891.52,130,19986.53
2025-10-21,Social Media,Midwest,194787,8739,1947.87,976,143488.03
2025-10-21,Social Media,West,237841,13890,2378.41,1414,103894.8
2025-10-21,Paid Search,Northeast,79111,3622,2966.68,263,30440.19
2025-10-21,Paid Search,Southeast,90831,1630,3406.17,105,6662.03
2025-10-21,Paid Search,Midwest,74808,2833,2805.34,112,18166.8
2025-10-21,Paid Search,West,79251,1019,2971.95,50,8144.94
2025-10-21,Display Ads,Northeast,399237,11890,1996.19,1100,83276.51
2025-10-21,Display Ads,Southeast,268166,5378,1340.83,498,65951.09
2025-10-21,Display Ads,Midwest,295098,11548,1475.49,569,84706.21
2025-10-21,Display Ads,West,362472,6605,1812.36,423,51623.61
2025-10-22,Email,Northeast,65871,3866,658.71,178,8379.68
2025-10-22,Email,Southeast,41595,685,415.95,76,5384.7
2025-10-22,Email,Midwest,40985,1328,409.85,93,14910.49
2025-10-22,Email,West,58934,1054,589.34,53,7620.31
2025-10-22,Social Media,Northeast,224497,10928,2244.97,744,65795.76
2025-10-22,Social Media,Southeast,169726,1890,1697.26,150,15990.2
2025-10-22,Social Media,Midwest,181854,6243,1818.55,726,71983.99
2025-10-22,Social Media,West,223794,11241,2237.94,813,155511.67
2025-10-22,Paid Search,Northeast,88159,2942,3305.97,225,26838.42
2025-10-22,Paid Search,Southeast,79113,1379,2966.76,138,17203.04
2025-10-22,Paid Search,Midwest,84604,1785,3172.66,62,10588.98
2025-10-22,Paid Search,West,71691,1866,2688.43,162,14748.35
2025-10-22,Display Ads,Northeast,326717,6634,1633.59,594,80075.53
2025-10-22,Display Ads,Southeast,357090,4244,1785.45,175,27399.65
2025-10-22,Display Ads,Midwest,247258,14705,1236.29,429,42010.39
2025-10-22,Display Ads,West,267721,10436,1338.61,443,24686.95
2025-10-23,Email,Northeast,59173,3436,591.74,196,37210.94
2025-10-23,Email,Southeast,50877,2827,508.78,86,10536.31
2025-10-23,Email,Midwest,50240,2090,502.41,233,19045.95
2025-10-23,Email,West,49276,1996,492.77,212,24331.25
2025-10-23,Social Media,Northeast,215558,6826,2155.58,592,95942.64
2025-10-23,Social Media,Southeast,218921,5193,2189.21,481,66937.4
2025-10-23,Social Media,Midwest,167882,3840,1678.83,299,38606.14
2025-10-23,Social Media,West,259868,10923,2598.69,349,59276.35
2025-10-23,Paid Search,Northeast,89953,4236,3373.26,299,49497.04
2025-10-23,Paid Search,Southeast,81764,1663,3066.15,160,31086.45
2025-10-23,Paid Search,Midwest,62317,2377,2336.92,194,29262.69
2025-10-23,Paid Search,West,77970,3272,2923.89,159,26658.51
2025-10-23,Display Ads,Northeast,389376,4343,1946.88,468,59851.49
2025-10-23,Display Ads,Southeast,308201,5215,1541.01,341,34590.89
2025-10-23,Display Ads,Midwest,234548,2381,1172.74,144,7767.8
2025-10-23,Display Ads,West,362358,12284,1811.79,1266,165958.77
2025-10-24,Email,Northeast,58447,2425,584.47,54,5622.67
2025-10-24,Email,Southeast,57037,2195,570.38,137,25777.55
2025-10-24,Email,Midwest,48818,1481,488.19,156,14247.3
2025-10-24,Email,West,58149,3043,581.49,339,14782.4
2025-10-24,Social Media,Northeast,230572,3532,2305.72,233,29528.16
2025-10-24,Social Media,Southeast,182435,7003,1824.36,712,94974.82
2025-10-24,Social Media,Midwest,158256,3701,1582.56,255,15877.91
2025-10-24,Social Media,West,225417,7565,2254.18,693,32444.69
2025-10-24,Paid Search,Northeast,89719,2601,3364.46,268,16826.68
2025-10-24,Paid Search,Southeast,67664,2262,2537.42,235,23649.08
2025-10-24,Paid Search,Midwest,74349,2066,2788.1,93,9844.35
2025-10-24,Paid Search,West,85319,2590,3199.47,124,14308.47
2025-10-24,Display Ads,Northeast,322982,18503,1614.91,1994,202262.9
2025-10-24,Display Ads,Southeast,334556,6947,1672.78,400,71337.36
2025-10-24,Display Ads,Midwest,299243,17802,1496.22,1455,65502.46
2025-10-24,Display Ads,West,348000,8670,1740.0,469,28332.94
2025-10-25,Email,Northeast,49559,1873,495.59,186,24111.9
2025-10-25,Email,Southeast,39790,1241,397.91,27,1196.44
2025-10-25,Email,Midwest,30434,1657,304.35,184,19207.8
2025-10-25,Email,West,32483,337,324.83,31,5379.5
2025-10-25,Social Media,Northeast,176027,4121,1760.27,433,65898.3
2025-10-25,Social Media,Southeast,163315,8974,1633.16,669,43753.25
2025-10-25,Social Media,Midwest,136605,2580,1366.06,83,3727.02
2025-10-25,Social Media,West,123920,6040,1239.2,577,23127.65
2025-10-25,Paid Search,Northeast,66480,1487,2493.02,69,4262.01
2025-10-25,Paid Search,Southeast,50225,633,1883.44,33,5316.76
2025-10-25,Paid Search,Midwest,52864,1404,1982.4,100,11559.8
2025-10-25,Paid Search,West,61290,3411,2298.41,222,26435.59
2025-10-25,Display Ads,Northeast,274321,4280,1371.61,202,29387.5
2025-10-25,Display Ads,Southeast,197552,10818,987.76,529,89704.06
2025-10-25,Display Ads,Midwest,180536,4802,902.68,426,50400.86
2025-10-25,Display Ads,West,268359,4737,1341.8,449,42549.0
2025-10-26,Email,Northeast,33759,1863,337.6,63,8300.94
2025-10-26,Email,Southeast,38187,1102,381.87,97,10591.01
2025-10-26,Email,Midwest,36907,1764,369.08,155,7102.82
2025-10-26,Email,West,43117,1903,431.17,206,20328.78
2025-10-26,Social Media,Northeast,153721,6130,1537.21,443,76004.2
2025-10-26,Social Media,Southeast,114953,4529,1149.53,324,39354.25
2025-10-26,Social Media,Midwest,105323,2172,1053.23,197,22685.29
2025-10-26,Social Media,West,133185,6663,1331.85,374,30810.09
2025-10-26,Paid Search,Northeast,55520,2856,2082.01,242,17961.16
2025-10-26,Paid Search,Southeast,51759,1852,1940.98,185,27534.05
